Date,Number of new infections,Deaths,CDeaths,Recovered,CRecovered,Dose 2,CVaccine,CReinfection,ReRecovered,CReRecovered
28-Feb-20,1,0,0,0,0,0,0,0,0,0
29-Feb-20,2,0,0,0,0,0,0,0,0,0
1-Mar-20,4,0,0,0,0,0,0,0,0,0
2-Mar-20,1,0,0,0,0,0,0,0,0,0
3-Mar-20,1,0,0,0,0,0,0,0,0,0
4-Mar-20,1,0,0,0,0,0,0,0,0,0
5-Mar-20,2,0,0,0,0,0,0,0,0,0
6-Mar-20,4,0,0,1,1,0,0,0,0,0
7-Mar-20,8,0,0,2,3,0,0,0,0,0
8-Mar-20,24,0,0,4,7,0,0,0,0,0
9-Mar-20,182,0,0,1,8,0,0,0,0,0
10-Mar-20,103,0,0,1,9,0,0,0,0,0
11-Mar-20,64,1,1,1,10,0,0,0,0,0
12-Mar-20,36,0,1,2,12,0,0,0,0,0
13-Mar-20,30,0,1,4,16,0,0,0,0,0
14-Mar-20,26,0,1,8,24,0,0,0,0,0
15-Mar-20,15,0,1,24,48,0,0,0,0,0
16-Mar-20,38,0,1,182,230,0,0,0,0,0
17-Mar-20,17,1,2,103,333,0,0,0,0,0
18-Mar-20,39,0,2,63,396,0,0,0,0,0
19-Mar-20,25,0,2,36,432,0,0,0,0,0
20-Mar-20,10,0,2,30,462,0,0,0,0,0
21-Mar-20,37,1,3,26,488,0,0,0,0,0
22-Mar-20,62,0,3,15,503,0,0,0,0,0
23-Mar-20,43,2,5,38,541,0,0,0,0,0
24-Mar-20,41,1,6,16,557,0,0,0,0,0
25-Mar-20,68,0,6,39,596,0,0,0,0,0
26-Mar-20,67,0,6,25,621,0,0,0,0,0
27-Mar-20,89,0,6,10,631,0,0,0,0,0
28-Mar-20,81,1,7,36,667,0,0,0,0,0
29-Mar-20,85,0,7,62,729,0,0,0,0,0
30-Mar-20,87,0,7,41,770,0,0,0,0,0
31-Mar-20,145,1,8,40,810,0,0,0,0,0
1-Apr-20,164,0,8,68,878,0,0,0,0,0
2-Apr-20,187,1,9,67,945,0,0,0,0,0
3-Apr-20,100,0,9,89,1034,0,0,0,0,0
4-Apr-20,92,0,9,80,1114,0,0,0,0,0
5-Apr-20,89,0,9,85,1199,0,0,0,0,0
6-Apr-20,82,1,10,87,1286,0,0,0,0,0
7-Apr-20,177,0,10,144,1430,0,0,0,0,0
8-Apr-20,135,0,10,164,1594,0,0,0,0,0
